MARKET,Bring an offline behavior online,Aggregate the long tail and drive discovery,Make it a subscription,Bring rentals to market at lower cost,Make a paid product free or very cheap,Create a marketplace,Build a discovery driven experience (push model),Build a vertical brand,Produce original and exclusive content,Streamline a process through tech,Build a messaging interaction model,Build an audio/voice interaction model (for Echo etc.),Create a new consumption or creation format,Enable easier creation,Build an AR/VR app,Build it as mobile-native,Apply blockchain,Remove features to launch a simpler/better product,Use AI to create an assistant or other unique product,Offer loans or insurance,Target a specific segment of the market,Build a software management layer,Build a trusted widget / API integration,Create a full-stack offering,Make it on demand,Build a UGC community,Build hardware that unlocks new use cases,Make it Peer-to-Peer,Target a new or emerging market,Make it a service
Shopping,,[![Wayfair](http://www.bankerandtradesman.com/wp-content/uploads/2015/10/wayfair-logo.jpg)](https://www.wayfair.com/),[![Amazon Prime](https://upload.wikimedia.org/wikipedia/commons/c/cf/Amazon_Prime_logo.jpg)](https://www.amazon.com/gp/prime/),[![Joymode](https://cdn.evbuc.com/eventlogos/150254748/joymodelogo.png)](https://www.joymode.com/),,[![eBay](http://lofrev.net/wp-content/photos/2016/06/ebay-logo-1-250x150.png)](http://www.ebay.com/),[![Pinterest](https://cdn0.iconfinder.com/data/icons/Pinterest/Pinterest_Logo.png)](https://www.pinterest.com/),,,,,,,,,[![Wish](https://photos.prnewswire.com/prnvar/20150713/235913LOGO)](https://www.wish.com/),,,,[![Affirm](http://www.incimages.com/uploaded_files/inlineimage/630x0/affirmlogo-green_lg1_30807.jpg)](https://www.affirm.com/),,[![Trim](http://www.asktrim.com/assets/Logo_CircleText-46fdeabcf7dbbc21883591ff91944f1477d838de996964fc0383d6550d5d9322.png)](http://www.asktrim.com/),,,,,,,[![Flipkart](http://www.underconsideration.com/brandnew/archives/flipkart_logo_detail.jpg)](https://www.flipkart.com/),
Mobile Video,,,,,,,,,,,,,,,,,,,,,,,,,,[![musical.ly](http://www.billboard.com/files/media/musical-ly-app-logo-2016-billboard-650-1548.jpg)](https://musical.ly/),,,,
Gaming,,,,,,,,,[![Supercell](http://seeklogo.com/images/S/supercell-logo-2E7DEB70F6-seeklogo.com.gif)](http://supercell.com/en/),[![Scopely](http://www.adweek.com/socialtimes/wp-content/uploads/sites/2/2014/11/Scopely.png)](http://scopely.com/),,,,,[![Pokémon GO](https://i.ytimg.com/vi/ot3bwOronm0/maxresdefault.jpg)](http://www.pokemongo.com/),,,,,,,,,,,[![Twitch](https://www-cdn.jtvnw.net/images/twitch_logo3.jpg)](https://www.twitch.tv/),,,,
Travel,,,,,,[![Airbnb](https://a0.muscache.com/airbnb/static/about/resources/airbnb-logo-293-86cb5a9eea395a8233842fb74a5b59af.png)](https://www.airbnb.com/),,,,,[![Lola](https://venturefizz.com/sites/default/files/styles/medium/public/m/deals/logo/lola_travel_logo.jpeg)](https://www.lolatravel.com/),,,,,,,,,,,,,,[![Hotel Tonight](https://upload.wikimedia.org/wikipedia/en/2/24/Hotel_Tonight_logo.png)](https://www.hoteltonight.com/),[![TripAdvisor](http://vectorlogo4u.com/wp-content/uploads/2015/11/trip-advisor-logo-png.png)](https://www.tripadvisor.com/),,,,
Kids,,,,,,,[![Rockets of Awesome](http://www.bbgventures.com/wp-content/uploads/2016/06/logo_rockets_2x.png)](https://www.rocketsofawesome.com/),[![The Honest Co.](https://img.honest.com/landing/shared/logo.png)](https://www.honest.com/),,,,,,,,,,,,,,,,,,,,,,
Education,,,,,[![Udacity](http://www.underconsideration.com/brandnew/archives/udacity_logo.png)](https://www.udacity.com/),,,,[![MasterClass](https://d1qb2nb5cznatu.cloudfront.net/startups/i/577045-11b732d2897e82496090857540409a7b-medium_jpg.jpg?buster=1421096586)](https://www.masterclass.com/),,,,,,,[![Lumosity](https://asset-beacon.lumosity.com/beacon/production/press/logos/lumosity_logo-7fd01a7d4d29f42b7a87fb9e641f96cf.png)](https://www.lumosity.com/),,,,,,,,[![AltSchool](http://mms.businesswire.com/media/20140318005497/en/407676/5/AltSchool_Logo_(high_res).jpg)](https://www.altschool.com/),,,,,,
Fashion,,,[![Rent the Runway](http://mamuna.com/system/logos/2154/normal/renttherunaway_logo.png?1392113623)](https://www.renttherunway.com/),,,[![Poshmark](http://www.kcyouthere.com/wp-content/uploads/2012/07/poshmark-logo.jpg)](https://poshmark.com/),[![Stitch Fix](https://res.cloudinary.com/goodsearch/image/upload/v1435767006/hi_resolution_merchant_logos/stitch-fix_coupons.jpg)](https://www.stitchfix.com/),[![Warby Parker](https://www.warbyparker.com/apple-touch-icon.png)](https://www.warbyparker.com/),,,,,,,,,,,,,[![GOAT](https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAMXAAAAJDA3YWRkNmVmLWNlMzgtNDkxZS1iMTZjLThjN2ViMTBiMTllOA.png)](https://www.airgoat.com/),,,,,,,,,
Sports,[![FanDuel](http://www.underconsideration.com/brandnew/archives/fanduel_logo.png)](https://www.fanduel.com/),[![Bleacher Report](http://logo-city.org/preview/15/06/08/170418_br-bleacher-report-logo.png)](http://bleacherreport.com/),,,,,,,[![The Athletic](https://theathletic.com/app/themes/athletic/assets/img/logo-wordmark-black.png)](https://theathletic.com/),,,,,,,,,,,,,,,,,,,,,
Media,,,[![Spotify](http://pixel.nymag.com/imgs/daily/vulture/2015/06/26/26-spotify.w1200.h630.jpg)](https://www.spotify.com/),,[![SoundCloud](http://img01.thedrum.com/styles/tdn_article_full_width/s3/news/tmp/116055/soundcloud-logo.png?itok=vJJLQWOQ)](https://soundcloud.com/),,,,[![Netflix](http://www.dafont.com/forum/attach/orig/4/4/444713.png)](https://www.netflix.com/),[![Amino](http://www.pakman.com/wp-content/uploads/2015/09/Amino-logo_green.png)](https://www.aminoapps.com/),,,[![Magic Leap](http://www.roadtovr.com/wp-content/uploads/2014/10/magic-leap-logo.png)](https://www.magicleap.com/),,,,,,,,[![Cheddar](http://static2.businessinsider.com/image/56c78a932e5265ba008b8630-746-223/screen%20shot%202016-02-19%20at%204.34.09%20pm.png)](http://www.cheddar.com/),,,,,[![YouTube](https://www.youtube.com/yt/brand/media/image/YouTube-logo-full_color.png)](https://www.youtube.com/),,,,
