MARKET,Bring an offline behavior online,Aggregate the long tail and drive discovery,Make it a subscription,Bring rentals to market at lower cost,Make a paid product free or very cheap,Create a marketplace,Build a discovery driven experience (push model),Build a vertical brand,Produce original and exclusive content,Streamline a process through tech,Build a messaging interaction model,Build an audio/voice interaction model (for Echo etc.),Create a new consumption or creation format,Enable easier creation,Build an AR/VR app,Build it as mobile-native,Apply blockchain,Remove features to launch a simpler/better product,Use AI to create an assistant or other unique product,Offer loans or insurance,Target a specific segment of the market,Build a software management layer,Build a trusted widget / API integration,Create a full-stack offering,Make it on demand,Build a UGC community,Build hardware that unlocks new use cases,Make it Peer-to-Peer,Target a new or emerging market,Make it a service
Shopping,,[Wayfair](https://www.wayfair.com/),[Amazon Prime](https://www.amazon.com/gp/prime/),[Joymode](https://www.joymode.com/),,[eBay](http://www.ebay.com/),[Pinterest](https://www.pinterest.com/),,,,,,,,,[Wish](https://www.wish.com/),,,,[Affirm](https://www.affirm.com/),,[Trim](http://www.asktrim.com/),,,,,,,[Flipkart](https://www.flipkart.com/),
Mobile Video,,,,,,,,,,,,,,,,,,,,,,,,,,[musical.ly](https://musical.ly/),,,,
Gaming,,,,,,,,,[Supercell](http://supercell.com/en/),[Scopely](http://scopely.com/),,,,,[Pokémon GO](http://www.pokemongo.com/),,,,,,,,,,,[Twitch](https://www.twitch.tv/),,,,
Travel,,,,,,[Airbnb](https://www.airbnb.com/),,,,,[Lola](https://www.lolatravel.com/),,,,,,,,,,,,,,[Hotel Tonight](https://www.hoteltonight.com/),[TripAdvisor](https://www.tripadvisor.com/),,,,
Kids,,,,,,,[Rockets of Awesome](https://www.rocketsofawesome.com/),[The Honest Co.](https://www.honest.com/),,,,,,,,,,,,,,,,,,,,,,
Education,,,,,[Udacity](https://www.udacity.com/),,,,[MasterClass](https://www.masterclass.com/),,,,,,,[Lumosity](https://www.lumosity.com/),,,,,,,,[AltSchool](https://www.altschool.com/),,,,,,
Fashion,,,[Rent the Runway](https://www.renttherunway.com/),,,[Poshmark](https://poshmark.com/),[Stitch Fix](https://www.stitchfix.com/),[Warby Parker](https://www.warbyparker.com/),,,,,,,,,,,,,[GOAT](https://www.airgoat.com/),,,,,,,,,
Sports,[FanDuel](https://www.fanduel.com/),[Bleacher Report](http://bleacherreport.com/),,,,,,,[The Athletic](https://theathletic.com/),,,,,,,,,,,,,,,,,,,,,
Media,,,[Spotify](https://www.spotify.com/),,[SoundCloud](https://soundcloud.com/),,,,[Netflix](https://www.netflix.com/),[Amino](https://www.aminoapps.com/),,,[Magic Leap](https://www.magicleap.com/),,,,,,,,[Cheddar](http://www.cheddar.com/),,,,,[YouTube](https://www.youtube.com/),,,,
Cars,,,,,,[Shift](https://shift.com/),,,,,,,,,,,,,,[Metromile](https://www.metromile.com/),,,,,,,,,,
Pets,,,[Chewy](https://www.chewy.com/),,,[DogVacay](https://dogvacay.com/),[BarkBox](https://barkbox.com/),[Ollie](https://www.myollie.com/),,,,,,,,,,,,,,,,,,,,,,
Finance,[Wealthfront](https://www.wealthfront.com/),,,,[Credit Karma](https://www.creditkarma.com/),[Lending Club](https://www.lendingclub.com/),,,,,,,,,,[Robinhood](https://www.robinhood.com/),[Chain](https://chain.com/),,,,,,[Stripe](https://stripe.com/),,,,,[Lemonade](https://www.lemonade.com/),[Nubank](https://www.nubank.com.br/),
Fitness,,,[ClassPass](https://classpass.com/),,,,,,[Aaptiv](http://www.aaptiv.com/),[Naked](https://naked.fit/),,,[Peloton](https://www.pelotoncycle.com/),,,,,,,,,,,,,,[Fitbit](https://www.fitbit.com/),,,
CPG,,,[Dollar Shave Club](https://www.dollarshaveclub.com/),,,,,[HUBBLE](https://www.hubblecontacts.com/),,,,,,,,,,[Harry's](https://www.harrys.com/),,,,,,,,,,,,
Productivity,[Evernote](https://evernote.com/),,,,,,,,,[Dropbox](https://www.dropbox.com/),,,[Slack](https://slack.com/),,,[Quip](https://quip.com/),,,[Ozlo](https://www.ozlo.ai/),,,[IFTTT](https://ifttt.com/),,,,,[53](http://www.fiftythree.com/),,,
Photos,,,,,,[Shutterstock](https://www.shutterstock.com/),,,,,,,,,,[Instagram](https://www.instagram.com/),,,[Prisma](http://prisma-ai.com/),,,,,,,,,,,
Mental Health,,,[Simple Habit](https://www.simplehabit.com/),,,,,,[Headspace](https://www.headspace.com/),,,,,,,,,,,,,,,,,,,,,[Joyable](https://joyable.com/)
Healthcare,,,,,,[Zocdoc](https://www.zocdoc.com/),,,,,,,,,,,,,,[Oscar](https://www.hioscar.com/),,,,[Forward](https://goforward.com/),,,,,,
Real Estate,[Compass](https://www.compass.com/),,,,,,,,,,,,,,,,,,,,,,,,[Breather](https://breather.com/),,,,,
Cooking,,,,,,,,,,,,,,[Blue Apron](https://www.blueapron.com/),,,,,,,,,,,,[Nom](https://nom.com/),,,,
Food & Drink,[Instacart](https://www.instacart.com/),,,,,,,[Hungryroot](https://www.hungryroot.com/),,,,,,,,,,,,,,,,,,,,,,
Restaurants & Delivery,,[Slice](http://slicelife.com/),,,,[Grubhub](https://www.grubhub.com/),,,,,,,,,,,,,,,,,,,[Postmates](https://postmates.com/),,,,[Deliveroo](https://deliveroo.co.uk/),
Parenting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seniors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Honor](https://www.joinhonor.com/)
Weather,,,,,,,,,,,,,,,,[Dark Sky](https://darksky.net/),,,,[The Climate Corporation](https://www.climate.com/),,,,,,,,,,
Careers & Hiring,,,,,,[Hired](https://hired.com/),,,,,,,,,,,,,,,,,,,,[Glassdoor](https://www.glassdoor.com/),,,,
Local Services,,[Thumbtack](https://www.thumbtack.com/),,,,,,,,,,,,,,,,,,,,,,,[Handy](https://www.handy.com/),,,,,
Faith & Inspiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,,,,,,,,,,,,,,,,[Waze](https://www.waze.com/),,,,,,,,,[Uber](https://www.uber.com/),,,[Lyft](https://www.lyft.com/),,
Communication,,[GIPHY](http://giphy.com/),[WhatsApp](https://www.whatsapp.com/),,,,,,,,,,[Snapchat](https://www.snapchat.com/),,[AltspaceVR](https://altvr.com/),,,,,,,,,,,,,[Skype](https://www.skype.com/),,
Beauty & Health,,,,,,[StyleSeat](https://www.styleseat.com/),,[Glossier](https://www.glossier.com/),,,,,,,,,,,,,[Bevel](https://getbevel.com/),,,,[GLAMSQUAD](https://www.glamsquad.com/),,,,,
Deals & Coupons,,,,,,,[Groupon](https://www.groupon.com/),,,,,,,,,,,,,,,,,,,,,,,
Dating,,,,,,,,,,,,,,,,[Tinder](https://www.gotinder.com/),,,,,,,,,,,,,,
Gifting,,,,,,[Raise](https://www.raise.com/),,,,,,,,,,,,,,,,,,,,,,,,
Blogging,,,,,,,,,,,,,,,,,,[Medium](https://medium.com/),,,,,,,,,,,,
News,,,,,,,[BuzzFeed](https://www.buzzfeed.com/),,,,,,,,,,,,,,,,,,,,,,,
Weddings,[Zola](https://www.zola.com/),,,[The Black Tux](https://theblacktux.com/),,,,,,,,,,,,,,,,,,,,,,,,,,
Security,,,,,,,,,,[1Password](https://1password.com/),,,,,,,,,,,,,,,,,,,,
Home,[Nextdoor](https://nextdoor.com/),[Houzz](http://www.houzz.com/),,,,,,[Casper](https://casper.com/),,,,,,[Point](https://point.com/),,,,,,,,,,,,,,,,[Homepolish](https://www.homepolish.com/)
