MARKET,Bring an offline behavior online,Aggregate the long tail and drive discovery,Make it a subscription,Bring rentals to market at lower cost,Make a paid product free or very cheap,Create a marketplace,Build a discovery driven experience (push model),Build a vertical brand,Produce original and exclusive content,Streamline a process through tech,Build a messaging interaction model,Build an audio/voice interaction model (for Echo etc.),Create a new consumption or creation format,Enable easier creation,Build an AR/VR app,Build it as mobile-native,Apply blockchain,Remove features to launch a simpler/better product,Use AI to create an assistant or other unique product,Offer loans or insurance,Target a specific segment of the market,Build a software management layer,Build a trusted widget / API integration,Create a full-stack offering,Make it on demand,Build a UGC community,Build hardware that unlocks new use cases,Make it Peer-to-Peer,Target a new or emerging market,Make it a service
Shopping,,Wayfair,Amazon Prime,Joymode,,eBay,Pinterest,,,,,,,,,Wish,,,,Affirm,,Trim,,,,,,,Flipkart,
Mobile Video,,,,,,,,,,,,,,,,,,,,,,,,,,musical.ly,,,,
Gaming,,,,,,,,,Supercell,Scopely,,,,,Pokémon GO,,,,,,,,,,,Twitch,,,,
Travel,,,,,,Airbnb,,,,,Lola,,,,,,,,,,,,,,Hotel Tonight,TripAdvisor,,,,
Kids,,,,,,,Rockets of Awesome,The Honest Co.,,,,,,,,,,,,,,,,,,,,,,
Education,,,,,Udacity,,,,MasterClass,,,,,,,Lumosity,,,,,,,,AltSchool,,,,,,
Fashion,,,Rent the Runway,,,Poshmark,Stitch Fix,Warby Parker,,,,,,,,,,,,,GOAT,,,,,,,,,
Sports,FanDuel,Bleacher Report,,,,,,,The Athletic,,,,,,,,,,,,,,,,,,,,,
Media,,,Spotify,,SoundCloud,,,,Netflix,Amino,,,Magic Leap,,,,,,,,Cheddar,,,,,YouTube,,,,
Cars,,,,,,Shift,,,,,,,,,,,,,,Metromile,,,,,,,,,,
Pets,,,Chewy,,,DogVacay,BarkBox,Ollie,,,,,,,,,,,,,,,,,,,,,,
Finance,Wealthfront,,,,Credit Karma,Lending Club,,,,,,,,,,Robinhood,Chain,,,,,,Stripe,,,,,Lemonade,Nubank,
Fitness,,,ClassPass,,,,,,Aaptiv,Naked,,,Peloton,,,,,,,,,,,,,,Fitbit,,,
CPG,,,Dollar Shave Club,,,,,HUBBLE,,,,,,,,,,Harry's,,,,,,,,,,,,
Productivity,Evernote,,,,,,,,,Dropbox,,,Slack,,,Quip,,,Ozlo,,,IFTTT,,,,,53,,,
Photos,,,,,,Shutterstock,,,,,,,,,,Instagram,,,Prisma,,,,,,,,,,,
Mental Health,,,Simple Habit,,,,,,Headspace,,,,,,,,,,,,,,,,,,,,,Joyable
Healthcare,,,,,,Zocdoc,,,,,,,,,,,,,,Oscar,,,,Forward,,,,,,
Real Estate,Compass,,,,,,,,,,,,,,,,,,,,,,,,Breather,,,,,
Cooking,,,,,,,,,,,,,,Blue Apron,,,,,,,,,,,,Nom,,,,
Food & Drink,Instacart,,,,,,,Hungryroot,,,,,,,,,,,,,,,,,,,,,,
Restaurants & Delivery,,Slice,,,,Grubhub,,,,,,,,,,,,,,,,,,,Postmates,,,,Deliveroo,
Parenting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seniors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Honor
Weather,,,,,,,,,,,,,,,,Dark Sky,,,,The Climate Corporation,,,,,,,,,,
Careers & Hiring,,,,,,Hired,,,,,,,,,,,,,,,,,,,,Glassdoor,,,,
Local Services,,Thumbtack,,,,,,,,,,,,,,,,,,,,,,,Handy,,,,,
Faith & Inspiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,,,,,,,,,,,,,,,,Waze,,,,,,,,,Uber,,,Lyft,,
Communication,,GIPHY,WhatsApp,,,,,,,,,,Snapchat,,AltspaceVR,,,,,,,,,,,,,Skype,,
Beauty & Health,,,,,,StyleSeat,,Glossier,,,,,,,,,,,,,Bevel,,,,GLAMSQUAD,,,,,
Deals & Coupons,,,,,,,Groupon,,,,,,,,,,,,,,,,,,,,,,,
Dating,,,,,,,,,,,,,,,,Tinder,,,,,,,,,,,,,,
Gifting,,,,,,Raise,,,,,,,,,,,,,,,,,,,,,,,,
Blogging,,,,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,
News,,,,,,,BuzzFeed,,,,,,,,,,,,,,,,,,,,,,,
Weddings,Zola,,,The Black Tux,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,,,,,,,,,,1Password,,,,,,,,,,,,,,,,,,,,
Home,Nextdoor,Houzz,,,,,,Casper,,,,,,Point,,,,,,,,,,,,,,,,Homepolish
