MARKET,Bring an offline behavior online,Aggregate the long tail and drive discovery,Make it a subscription,Bring rentals to market at lower cost,Make a paid product free or very cheap,Create a marketplace,Build a discovery driven experience (push model),Build a vertical brand,Produce original and exclusive content,Streamline a process through tech,Build a messaging interaction model,Build an audio/voice interaction model (for Echo etc.),Create a new consumption or creation format,Enable easier creation,Build an AR/VR app,Build it as mobile-native,Apply blockchain,Remove features to launch a simpler/better product,Use AI to create an assistant or other unique product,Offer loans or insurance,Target a specific segment of the market,Build a software management layer,Build a trusted widget / API integration,Create a full-stack offering,Make it on demand,Build a UGC community,Build hardware that unlocks new use cases,Make it Peer-to-Peer,Target a new or emerging market,Make it a service
Shopping,,"http://www.bankerandtradesman.com/wp-content/uploads/2015/10/wayfair-logo.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cf/Amazon_Prime_logo.jpg","https://cdn.evbuc.com/eventlogos/150254748/joymodelogo.png",,"http://lofrev.net/wp-content/photos/2016/06/ebay-logo-1-250x150.png","https://cdn0.iconfinder.com/data/icons/Pinterest/Pinterest_Logo.png",,,,,,,,,"https://photos.prnewswire.com/prnvar/20150713/235913LOGO",,,,"http://www.incimages.com/uploaded_files/inlineimage/630x0/affirmlogo-green_lg1_30807.jpg",,"http://www.asktrim.com/assets/Logo_CircleText-46fdeabcf7dbbc21883591ff91944f1477d838de996964fc0383d6550d5d9322.png",,,,,,,"http://www.underconsideration.com/brandnew/archives/flipkart_logo_detail.jpg",
Mobile Video,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.billboard.com/files/media/musical-ly-app-logo-2016-billboard-650-1548.jpg",,,,
Gaming,,,,,,,,,"http://seeklogo.com/images/S/supercell-logo-2E7DEB70F6-seeklogo.com.gif","http://www.adweek.com/socialtimes/wp-content/uploads/sites/2/2014/11/Scopely.png",,,,,"https://i.ytimg.com/vi/ot3bwOronm0/maxresdefault.jpg",,,,,,,,,,,"https://www-cdn.jtvnw.net/images/twitch_logo3.jpg",,,,
Travel,,,,,,"https://a0.muscache.com/airbnb/static/about/resources/airbnb-logo-293-86cb5a9eea395a8233842fb74a5b59af.png",,,,,"https://venturefizz.com/sites/default/files/styles/medium/public/m/deals/logo/lola_travel_logo.jpeg",,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/en/2/24/Hotel_Tonight_logo.png","http://vectorlogo4u.com/wp-content/uploads/2015/11/trip-advisor-logo-png.png",,,,
Kids,,,,,,,"http://www.bbgventures.com/wp-content/uploads/2016/06/logo_rockets_2x.png","https://img.honest.com/landing/shared/logo.png",,,,,,,,,,,,,,,,,,,,,,
Education,,,,,"http://www.underconsideration.com/brandnew/archives/udacity_logo.png",,,,"https://d1qb2nb5cznatu.cloudfront.net/startups/i/577045-11b732d2897e82496090857540409a7b-medium_jpg.jpg?buster=1421096586",,,,,,,"https://asset-beacon.lumosity.com/beacon/production/press/logos/lumosity_logo-7fd01a7d4d29f42b7a87fb9e641f96cf.png",,,,,,,,"http://mms.businesswire.com/media/20140318005497/en/407676/5/AltSchool_Logo_(high_res).jpg",,,,,,
Fashion,,,"http://mamuna.com/system/logos/2154/normal/renttherunaway_logo.png?1392113623",,,"http://www.kcyouthere.com/wp-content/uploads/2012/07/poshmark-logo.jpg","https://res.cloudinary.com/goodsearch/image/upload/v1435767006/hi_resolution_merchant_logos/stitch-fix_coupons.jpg","https://www.warbyparker.com/apple-touch-icon.png",,,,,,,,,,,,,"https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAMXAAAAJDA3YWRkNmVmLWNlMzgtNDkxZS1iMTZjLThjN2ViMTBiMTllOA.png",,,,,,,,,
Sports,"http://www.underconsideration.com/brandnew/archives/fanduel_logo.png","http://logo-city.org/preview/15/06/08/170418_br-bleacher-report-logo.png",,,,,,,"https://theathletic.com/app/themes/athletic/assets/img/logo-wordmark-black.png",,,,,,,,,,,,,,,,,,,,,
Media,,,"http://pixel.nymag.com/imgs/daily/vulture/2015/06/26/26-spotify.w1200.h630.jpg",,"http://img01.thedrum.com/styles/tdn_article_full_width/s3/news/tmp/116055/soundcloud-logo.png?itok=vJJLQWOQ",,,,"http://www.dafont.com/forum/attach/orig/4/4/444713.png","http://www.pakman.com/wp-content/uploads/2015/09/Amino-logo_green.png",,,"http://www.roadtovr.com/wp-content/uploads/2014/10/magic-leap-logo.png",,,,,,,,"http://static2.businessinsider.com/image/56c78a932e5265ba008b8630-746-223/screen%20shot%202016-02-19%20at%204.34.09%20pm.png",,,,,"https://www.youtube.com/yt/brand/media/image/YouTube-logo-full_color.png",,,,
Cars,,,,,,"https://upload.wikimedia.org/wikipedia/commons/6/67/Shift_logo_1.jpg",,,,,,,,,,,,,,"http://photos.prnewswire.com/prnfull/20150331/195730LOGO",,,,,,,,,,
Pets,,,"https://s3.amazonaws.com/media.wishpond.com/media/003/808/913/original.png?1422458979",,,"http://cdn2.content.compendiumblog.com/uploads/user/e9134729-1e32-474e-ba06-8360c93e7722/6e07160a-0799-4b0c-9dc3-fff6c0e2d486/Image/0031df8d29ee5424722fa74cdfa08ecd/dogvacay.jpg","http://www.animalhavenshelter.org/wp-content/uploads/2015/12/barkbox-logo-blue-default.png","http://www.radiopetlady.com/wp-content/uploads/2016/09/logo-545x175-1.png",,,,,,,,,,,,,,,,,,,,,,
Finance,"http://www.thesimpledollar.com/wp-content/uploads/2014/12/wealthfront-logo.png",,,,"https://creditkarmacdn-a.akamaihd.net/ckfiles.com/assets/69657661538/res/images/logos/ck-logo-upswing.svg","https://upload.wikimedia.org/wikipedia/en/c/c1/LendingClub_logo.jpg",,,,,,,,,,"http://howardlindzon.com/wp-content/uploads/2016/01/robinhood-logo-green.png","http://ec2-50-19-249-57.compute-1.amazonaws.com/system/companies/138-logo-whiteBG.png?1401492784",,,,,,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Stripe_logo,_revised_2014.png/1280px-Stripe_logo,_revised_2014.png",,,,,"http://cdn.crowdfundinsider.com/wp-content/uploads/2015/12/lemonade.png","https://www.kaszek.com/wp-content/uploads/2016/03/1nulogo_whitebg.png",
Fitness,,,"http://www.mamachallenge.com/wp-content/uploads/2015/01/CDWN11-e1422601940511.png",,,,,,"http://blog.aaptiv.com/wp-content/uploads/2016/11/logo@2x-1.jpg","https://3dprint.com/wp-content/uploads/2016/04/624x624xNaked-Labs_logo_stacked_120pxl-624x624.jpeg.pagespeed.ic_.1sGT-CxU0G.jpg",,,"https://www.filepicker.io/api/file/6kEsU0I7QQGudofNGS6l",,,,,,,,,,,,,,"http://comolivingmag.com/wp-content/uploads/2015/09/Fitbit-logo-on-white.jpg",,,
CPG,,,"https://upload.wikimedia.org/wikipedia/en/6/69/Dollar_shave_club_logo.png",,,,,"https://cdn.shopify.com/s/files/1/1516/5228/t/2/assets/full_logo_red.svg?13844067261394532726",,,,,,,,,,"https://cdn.shopify.com/s/files/1/0116/6732/files/harrys-logo_9051.jpg?5697",,,,,,,,,,,,
Productivity,"https://evernote.com/media/img/logos/evernote_logo_center_4c-lrg.png",,,,,,,,,"https://cfl.dropboxstatic.com/static/images/brand/logotype-vflHjIsop.svg",,,"https://brandfolder.com/slack/logo/slack-primary-logo.png",,,"https://upload.wikimedia.org/wikipedia/en/7/72/Quip_company_logo.png",,,"https://s3.amazonaws.com/owler-image/logo/ozlo_owler_20160607_023713_original.png",,,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/IFTTT_Logo.svg/2000px-IFTTT_Logo.svg.png",,,,,"http://www.fiftythree.com/assets/images/logos/53-dark.svg",,,
Photos,,,,,,"https://accounts.shutterstock.com/assets/images/ss-logo-color-2x.png",,,,,,,,,,"https://cdn3.tnwcdn.com/wp-content/blogs.dir/1/files/2013/05/Screen-Shot-2013-05-02-at-2.27.45-PM-730x300.png",,,"https://cdn.xtremerain.com/wp-content/uploads/2016/08/prisma-logo-HD.jpg",,,,,,,,,,,
Mental Health,,,"http://dl1.cbsistatic.com/i/2016/08/12/313e5483-a504-4bcb-a0d4-98de152527af/2c43526601bbce217ef119c9b115730c/imgingest-7118995974045370538.png",,,,,,"http://simuddell.com/wp-content/uploads/2014/05/headspace.png",,,,,,,,,,,,,,,,,,,,,"https://daks2k3a4ib2z.cloudfront.net/572a4404d6c4eb236f23595a/572a68ed6e747aa53d8ecf5f_BARREL_Joyable-small-sec-3.png"
