MARKET,Bring an offline behavior online,Aggregate the long tail and drive discovery,Make it a subscription,Bring rentals to market at lower cost,Make a paid product free or very cheap,Create a marketplace,Build a discovery driven experience (push model),Build a vertical brand,Produce original and exclusive content,Streamline a process through tech,Build a messaging interaction model,Build an audio/voice interaction model (for Echo etc.),Create a new consumption or creation format,Enable easier creation,Build an AR/VR app,Build it as mobile-native,Apply blockchain,Remove features to launch a simpler/better product,Use AI to create an assistant or other unique product,Offer loans or insurance,Target a specific segment of the market,Build a software management layer,Build a trusted widget / API integration,Create a full-stack offering,Make it on demand,Build a UGC community,Build hardware that unlocks new use cases,Make it Peer-to-Peer,Target a new or emerging market,Make it a service
Shopping,,https://www.wayfair.com/,https://www.amazon.com/gp/prime/,https://www.joymode.com/,,http://www.ebay.com/,https://www.pinterest.com/,,,,,,,,,https://www.wish.com/,,,,https://www.affirm.com/,,http://www.asktrim.com/,,,,,,,https://www.flipkart.com/,
Mobile Video,,,,,,,,,,,,,,,,,,,,,,,,,,https://musical.ly/,,,,
Gaming,,,,,,,,,http://supercell.com/en/,http://scopely.com/,,,,,http://www.pokemongo.com/,,,,,,,,,,,https://www.twitch.tv/,,,,
Travel,,,,,,https://www.airbnb.com/,,,,,https://www.lolatravel.com/,,,,,,,,,,,,,,https://www.hoteltonight.com/,https://www.tripadvisor.com/,,,,
Kids,,,,,,,https://www.rocketsofawesome.com/,https://www.honest.com/,,,,,,,,,,,,,,,,,,,,,,
Education,,,,,https://www.udacity.com/,,,,https://www.masterclass.com/,,,,,,,https://www.lumosity.com/,,,,,,,,https://www.altschool.com/,,,,,,
Fashion,,,https://www.renttherunway.com/,,,https://poshmark.com/,https://www.stitchfix.com/,https://www.warbyparker.com/,,,,,,,,,,,,,https://www.airgoat.com/,,,,,,,,,
Sports,https://www.fanduel.com/,http://bleacherreport.com/,,,,,,,https://theathletic.com/,,,,,,,,,,,,,,,,,,,,,
Media,,,https://www.spotify.com/,,https://soundcloud.com/,,,,https://www.netflix.com/,https://www.aminoapps.com/,,,https://www.magicleap.com/,,,,,,,,http://www.cheddar.com/,,,,,https://www.youtube.com/,,,,
Cars,,,,,,https://shift.com/,,,,,,,,,,,,,,https://www.metromile.com/,,,,,,,,,,
Pets,,,https://www.chewy.com/,,,https://dogvacay.com/,https://barkbox.com/,https://www.myollie.com/,,,,,,,,,,,,,,,,,,,,,,
Finance,https://www.wealthfront.com/,,,,https://www.creditkarma.com/,https://www.lendingclub.com/,,,,,,,,,,https://www.robinhood.com/,https://chain.com/,,,,,,https://stripe.com/,,,,,https://www.lemonade.com/,https://www.nubank.com.br/,
Fitness,,,https://classpass.com/,,,,,,http://www.aaptiv.com/,https://naked.fit/,,,https://www.pelotoncycle.com/,,,,,,,,,,,,,,https://www.fitbit.com/,,,
CPG,,,https://www.dollarshaveclub.com/,,,,,https://www.hubblecontacts.com/,,,,,,,,,,https://www.harrys.com/,,,,,,,,,,,,
Productivity,https://evernote.com/,,,,,,,,,https://www.dropbox.com/,,,https://slack.com/,,,https://quip.com/,,,https://www.ozlo.ai/,,,https://ifttt.com/,,,,,http://www.fiftythree.com/,,,
Photos,,,,,,https://www.shutterstock.com/,,,,,,,,,,https://www.instagram.com/,,,http://prisma-ai.com/,,,,,,,,,,,
Mental Health,,,https://www.simplehabit.com/,,,,,,https://www.headspace.com/,,,,,,,,,,,,,,,,,,,,,https://joyable.com/
Healthcare,,,,,,https://www.zocdoc.com/,,,,,,,,,,,,,,https://www.hioscar.com/,,,,https://goforward.com/,,,,,,
Real Estate,https://www.compass.com/,,,,,,,,,,,,,,,,,,,,,,,,https://breather.com/,,,,,
Cooking,,,,,,,,,,,,,,https://www.blueapron.com/,,,,,,,,,,,,https://nom.com/,,,,
Food & Drink,https://www.instacart.com/,,,,,,,https://www.hungryroot.com/,,,,,,,,,,,,,,,,,,,,,,
Restaurants & Delivery,,http://slicelife.com/,,,,https://www.grubhub.com/,,,,,,,,,,,,,,,,,,,https://postmates.com/,,,,https://deliveroo.co.uk/,
Parenting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seniors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.joinhonor.com/
Weather,,,,,,,,,,,,,,,,https://darksky.net/,,,,https://www.climate.com/,,,,,,,,,,
Careers & Hiring,,,,,,https://hired.com/,,,,,,,,,,,,,,,,,,,,https://www.glassdoor.com/,,,,
Local Services,,https://www.thumbtack.com/,,,,,,,,,,,,,,,,,,,,,,,https://www.handy.com/,,,,,
Faith & Inspiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,,,,,,,,,,,,,,,,https://www.waze.com/,,,,,,,,,https://www.uber.com/,,,https://www.lyft.com/,,
